,2024-10-01,2024-10-02,2024-10-03,2024-10-04,2024-10-05,2024-10-06,2024-10-07,2024-10-08,2024-10-09,2024-10-10,2024-10-11,2024-10-12,2024-10-13,2024-10-14,2024-10-15,2024-10-16,2024-10-17,2024-10-18,2024-10-19,2024-10-20,2024-10-21,2024-10-22,2024-10-23,2024-10-24,2024-10-25,2024-10-26,2024-10-27,2024-10-28,2024-10-29,2024-10-30,2024-10-31,2024-11-01,2024-11-02,2024-11-03,2024-11-04,2024-11-05,2024-11-06,2024-11-07,2024-11-08,2024-11-09,2024-11-10,2024-11-11,2024-11-12,2024-11-13,2024-11-14,2024-11-15,2024-11-16,2024-11-17,2024-11-18,2024-11-19,2024-11-20,2024-11-21,2024-11-22,2024-11-23,2024-11-24,2024-11-25,2024-11-26,2024-11-27,2024-11-28,2024-11-29,2024-11-30,2024-12-01,2024-12-02,2024-12-03,2024-12-04,2024-12-05,2024-12-06,2024-12-07,2024-12-08,2024-12-09,2024-12-10,2024-12-11,2024-12-12,2024-12-13,2024-12-14,2024-12-15,2024-12-16,2024-12-17,2024-12-18,2024-12-19,2024-12-20,2024-12-21,2024-12-22,2024-12-23,2024-12-24,2024-12-25,2024-12-26,2024-12-27,2024-12-28,2024-12-29,2024-12-30,2024-12-31,growth
AAPL,225.71324157714844,226.281982421875,225.17440795898438,226.30194091796875,226.30194091796875,226.30194091796875,221.20315551757812,225.27420043945312,229.03591918945312,228.53701782226562,227.05029296875,227.05029296875,227.05029296875,230.79205322265625,233.33645629882812,231.27099609375,231.6401824951172,234.48391723632812,234.48391723632812,234.48391723632812,235.96067810058594,235.342041015625,230.25323486328125,230.0636749267578,230.9018096923828,230.9018096923828,230.9018096923828,232.88743591308594,233.15684509277344,229.5946807861328,225.4138946533203,222.42047119140625,222.42047119140625,222.42047119140625,221.52244567871094,222.95928955078125,222.23089599609375,226.98043823242188,226.7107391357422,226.7107391357422,226.7107391357422,223.98373413085938,223.98373413085938,224.8727569580078,227.9693603515625,224.7528839111328,224.7528839111328,224.7528839111328,227.7695770263672,228.02928161621094,228.7484893798828,228.26902770996094,229.61753845214844,229.61753845214844,229.61753845214844,232.61424255371094,234.8018341064453,234.67198181152344,234.67198181152344,237.06935119628906,237.06935119628906,237.06935119628906,239.3268585205078,242.3834991455078,242.74310302734375,242.7730712890625,242.5732879638672,242.5732879638672,242.5732879638672,246.47900390625,247.4978790283203,246.2192840576172,247.68768310546875,247.85748291015625,247.85748291015625,247.85748291015625,250.7642822265625,253.20159912109375,247.77757263183594,249.51565551757812,254.21051025390625,254.21051025390625,254.21051025390625,254.98965454101562,257.91644287109375,257.91644287109375,258.7355041503906,255.30929565429688,255.30929565429688,255.30929565429688,251.9230194091797,250.1449737548828,0.10824235214123956
MSFT,419.00946044921875,415.4636535644531,414.87603759765625,414.39794921875,414.39794921875,414.39794921875,407.90399169921875,413.0533447265625,415.7923278808594,414.1788330078125,414.6568908691406,414.6568908691406,414.6568908691406,417.4656677246094,417.0672302246094,414.45770263671875,415.0552978515625,416.48956298828125,416.48956298828125,416.48956298828125,417.1070861816406,425.8022155761719,422.9038391113281,423.0333251953125,426.43963623046875,426.43963623046875,426.43963623046875,424.8858642578125,430.2244873046875,430.8021545410156,404.72674560546875,408.7306823730469,408.7306823730469,408.7306823730469,406.82830810546875,409.8163146972656,418.50146484375,423.7304992675781,420.85205078125,420.85205078125,420.85205078125,416.34014892578125,421.340087890625,423.5014343261719,425.1846923828125,413.3421936035156,413.3421936035156,413.3421936035156,414.0991516113281,416.12103271484375,413.8302001953125,412.0437927246094,416.16552734375,416.16552734375,416.16552734375,417.95196533203125,427.133544921875,422.1435546875,422.1435546875,422.61260986328125,422.61260986328125,422.61260986328125,430.1175842285156,430.3371276855469,436.544677734375,441.7342529296875,442.682373046875,442.682373046875,442.682373046875,445.12744140625,442.4428405761719,448.0915222167969,448.6603698730469,446.37493896484375,446.37493896484375,446.37493896484375,450.6863098144531,453.5505676269531,436.5147399902344,436.15545654296875,435.726318359375,435.726318359375,435.726318359375,434.3790283203125,438.4508361816406,438.4508361816406,437.2332763671875,429.66845703125,429.66845703125,429.66845703125,423.9798583984375,420.6565246582031,0.003930852079613101
AMZN,185.1300048828125,184.75999450683594,181.9600067138672,186.50999450683594,186.50999450683594,186.50999450683594,180.8000030517578,182.72000122070312,185.1699981689453,186.64999389648438,188.82000732421875,188.82000732421875,188.82000732421875,187.5399932861328,187.69000244140625,186.88999938964844,187.52999877929688,188.99000549316406,188.99000549316406,188.99000549316406,189.07000732421875,189.6999969482422,184.7100067138672,186.3800048828125,187.8300018310547,187.8300018310547,187.8300018310547,188.38999938964844,190.8300018310547,192.72999572753906,186.39999389648438,197.92999267578125,197.92999267578125,197.92999267578125,195.77999877929688,199.5,207.08999633789062,210.0500030517578,208.17999267578125,208.17999267578125,208.17999267578125,206.83999633789062,208.91000366210938,214.10000610351562,211.47999572753906,202.61000061035156,202.61000061035156,202.61000061035156,201.6999969482422,204.61000061035156,202.8800048828125,198.3800048828125,197.1199951171875,197.1199951171875,197.1199951171875,201.4499969482422,207.86000061035156,205.74000549316406,205.74000549316406,207.88999938964844,207.88999938964844,207.88999938964844,210.7100067138672,213.44000244140625,218.16000366210938,220.5500030517578,227.02999877929688,227.02999877929688,227.02999877929688,226.08999633789062,225.0399932861328,230.25999450683594,228.97000122070312,227.4600067138672,227.4600067138672,227.4600067138672,232.92999267578125,231.14999389648438,220.52000427246094,223.2899932861328,224.9199981689453,224.9199981689453,224.9199981689453,225.05999755859375,229.0500030517578,229.0500030517578,227.0500030517578,223.75,223.75,223.75,221.3000030517578,219.38999938964844,0.1850591130731215
GOOGL,166.60696411132812,165.47955322265625,165.47955322265625,166.6768035888672,166.6768035888672,166.6768035888672,162.6061553955078,164.00294494628906,161.4887237548828,161.70822143554688,162.8655548095703,162.8655548095703,162.8655548095703,164.5816192626953,165.08047485351562,164.78115844726562,162.55625915527344,163.04515075683594,163.04515075683594,163.04515075683594,163.69366455078125,164.76119995117188,162.4066162109375,162.34674072265625,164.89089965820312,164.89089965820312,164.89089965820312,166.3375701904297,169.290771484375,174.059814453125,170.71751403808594,170.89707946777344,170.89707946777344,170.89707946777344,168.85179138183594,169.3506622314453,176.10511779785156,180.3354034423828,177.94090270996094,177.94090270996094,177.94090270996094,179.9363250732422,181.20338439941406,178.46969604492188,175.17724609375,172.09434509277344,172.09434509277344,172.09434509277344,174.89788818359375,177.71142578125,175.57632446289062,167.24549865722656,164.38206481933594,164.38206481933594,164.38206481933594,167.2654266357422,168.73207092285156,168.84181213378906,168.84181213378906,168.5624542236328,168.5624542236328,168.5624542236328,171.0966339111328,170.94696044921875,173.9700164794922,172.24398803710938,174.30926513671875,174.30926513671875,174.30926513671875,175.1682586669922,184.9569854736328,195.1752166748047,191.7391815185547,189.6016387939453,189.6016387939453,189.6016387939453,196.43377685546875,195.1951904296875,188.18325805664062,188.2931365966797,191.18980407714844,191.18980407714844,191.18980407714844,194.40611267089844,195.8843994140625,195.8843994140625,195.375,192.5382537841797,192.5382537841797,192.5382537841797,191.02000427246094,189.08224487304688,0.13490000782140527
TSLA,258.0199890136719,249.02000427246094,240.66000366210938,250.0800018310547,250.0800018310547,250.0800018310547,240.8300018310547,244.5,241.0500030517578,238.77000427246094,217.8000030517578,217.8000030517578,217.8000030517578,219.16000366210938,219.57000732421875,221.3300018310547,220.88999938964844,220.6999969482422,220.6999969482422,220.6999969482422,218.85000610351562,217.97000122070312,213.64999389648438,260.4800109863281,269.19000244140625,269.19000244140625,269.19000244140625,262.510009765625,259.5199890136719,257.54998779296875,249.85000610351562,248.97999572753906,248.97999572753906,248.97999572753906,242.83999633789062,251.44000244140625,288.5299987792969,296.9100036621094,321.2200012207031,321.2200012207031,321.2200012207031,350.0,328.489990234375,330.239990234375,311.17999267578125,320.7200012207031,320.7200012207031,320.7200012207031,338.739990234375,346.0,342.0299987792969,339.6400146484375,352.55999755859375,352.55999755859375,352.55999755859375,338.5899963378906,338.2300109863281,332.8900146484375,332.8900146484375,345.1600036621094,345.1600036621094,345.1600036621094,357.0899963378906,351.4200134277344,357.92999267578125,369.489990234375,389.2200012207031,389.2200012207031,389.2200012207031,389.7900085449219,400.989990234375,424.7699890136719,418.1000061035156,436.2300109863281,436.2300109863281,436.2300109863281,463.0199890136719,479.8599853515625,440.1300048828125,436.1700134277344,421.05999755859375,421.05999755859375,421.05999755859375,430.6000061035156,462.2799987792969,462.2799987792969,454.1300048828125,431.6600036621094,431.6600036621094,431.6600036621094,417.4100036621094,403.8399963378906,0.5651500408229693
NVDA,116.9811782836914,118.83087921142578,122.83023834228516,124.89990234375,124.89990234375,124.89990234375,127.69945526123047,132.86862182617188,132.62864685058594,134.78829956054688,134.7783203125,134.7783203125,134.7783203125,138.0478057861328,131.57884216308594,135.6981658935547,136.90797424316406,137.97779846191406,137.97779846191406,137.97779846191406,143.6868896484375,143.56690979003906,139.5375518798828,140.38742065429688,141.51722717285156,141.51722717285156,141.51722717285156,140.49740600585938,141.22727966308594,139.3175811767578,132.7386474609375,135.3782196044922,135.3782196044922,135.3782196044922,136.0281219482422,139.8874969482422,145.58657836914062,148.85606384277344,147.6062469482422,147.6062469482422,147.6062469482422,145.2366180419922,148.26612854003906,146.24647521972656,146.7363739013672,141.9571533203125,141.9571533203125,141.9571533203125,140.12744140625,146.98634338378906,145.8665313720703,146.6464080810547,141.92715454101562,141.92715454101562,141.92715454101562,135.9981231689453,136.89797973632812,135.31822204589844,135.31822204589844,138.22776794433594,138.22776794433594,138.22776794433594,138.60769653320312,140.23744201660156,145.1166534423828,145.04666137695312,142.42689514160156,142.42689514160156,142.42689514160156,138.79722595214844,135.05758666992188,139.29718017578125,137.32736206054688,134.23765563964844,134.23765563964844,134.23765563964844,131.98785400390625,130.3780059814453,128.8981475830078,130.66796875,134.68760681152344,134.68760681152344,134.68760681152344,139.6571502685547,140.2071075439453,140.2071075439453,139.91712951660156,136.9973907470703,136.9973907470703,136.9973907470703,137.47735595703125,134.27764892578125,0.14785686805226153
META,575.4933471679688,571.839599609375,581.78271484375,594.930419921875,594.930419921875,594.930419921875,583.789306640625,591.8855590820312,589.5095825195312,582.8408813476562,588.9505615234375,588.9505615234375,588.9505615234375,589.419677734375,585.2767944335938,575.8128051757812,575.95263671875,575.4933471679688,575.4933471679688,575.4933471679688,574.185546875,581.0240478515625,562.7349853515625,566.818115234375,572.27880859375,572.27880859375,572.27880859375,577.1804809570312,592.2749633789062,590.79736328125,566.6184692382812,566.1991577148438,566.1991577148438,566.1991577148438,559.7301025390625,571.460205078125,571.0808715820312,590.6976318359375,588.3416137695312,588.3416137695312,588.3416137695312,582.1820068359375,583.8292236328125,579.0173950195312,576.1821899414062,553.1412963867188,553.1412963867188,553.1412963867188,553.4608154296875,560.1394653320312,564.5619506835938,562.1360473632812,558.1928100585938,558.1928100585938,558.1928100585938,564.1526489257812,572.5682983398438,568.2357177734375,568.2357177734375,573.3470458984375,573.3470458984375,573.3470458984375,591.82568359375,612.6104125976562,612.7401733398438,607.8983764648438,622.7132568359375,622.7132568359375,622.7132568359375,612.530517578125,618.2708129882812,631.6080932617188,629.7213134765625,619.2990112304688,619.2990112304688,619.2990112304688,623.6851196289062,618.889404296875,596.6591796875,595.0405883789062,584.7297973632812,584.7297973632812,584.7297973632812,599.3167724609375,607.2097778320312,607.2097778320312,602.8136596679688,599.27685546875,599.27685546875,599.27685546875,590.7144165039062,584.9895629882812,0.016501000171494334
V,276.6078186035156,276.00994873046875,275.87042236328125,276.93658447265625,276.93658447265625,276.93658447265625,272.8114013671875,273.97723388671875,275.940185546875,276.478271484375,276.846923828125,276.846923828125,276.846923828125,279.6767883300781,278.2917785644531,286.4923095703125,289.35211181640625,289.5812683105469,289.5812683105469,289.5812683105469,285.8247375488281,283.7721252441406,282.74578857421875,282.20770263671875,280.7230529785156,280.7230529785156,280.7230529785156,283.17425537109375,280.87249755859375,289.1228942871094,288.8139953613281,289.7008056640625,289.7008056640625,289.7008056640625,290.8068542480469,292.2417297363281,306.30126953125,304.70697021484375,306.76959228515625,306.76959228515625,306.76959228515625,309.8087158203125,309.3294982910156,308.96014404296875,307.732177734375,309.119873046875,309.119873046875,309.119873046875,311.6356201171875,311.3261413574219,306.8736572265625,309.3794250488281,309.3993835449219,309.3993835449219,309.3993835449219,312.66387939453125,311.29620361328125,314.1713562011719,314.1713562011719,314.5506896972656,314.5506896972656,314.5506896972656,316.1180725097656,312.48419189453125,309.3794250488281,308.560791015625,310.487548828125,310.487548828125,310.487548828125,307.7821044921875,311.8552551269531,313.26287841796875,313.7021484375,314.2112731933594,314.2112731933594,314.2112731933594,315.359375,317.7652893066406,309.2596130371094,314.3510437011719,317.1763000488281,317.1763000488281,317.1763000488281,316.6871337890625,320.1113586425781,320.1113586425781,320.3709411621094,318.12469482421875,318.12469482421875,318.12469482421875,314.78033447265625,315.5091247558594,0.14063704471096003
IBM,216.19447326660156,216.56900024414062,219.5159912109375,222.74880981445312,222.74880981445312,222.74880981445312,223.85269165039062,225.3311004638672,230.92941284179688,229.66783142089844,229.90435791015625,229.90435791015625,229.90435791015625,231.87557983398438,229.6086883544922,230.3084716796875,229.52984619140625,228.859619140625,228.859619140625,228.859619140625,228.4160919189453,228.90890502929688,229.40170288085938,215.24827575683594,211.58180236816406,211.58180236816406,211.58180236816406,209.8471221923828,207.4027862548828,201.95233154296875,203.7461700439453,205.254150390625,205.254150390625,205.254150390625,203.3519287109375,204.5839385986328,210.52720642089844,210.61590576171875,210.64547729492188,210.64547729492188,210.64547729492188,210.4976348876953,209.46450805664062,209.52410888671875,207.6068878173828,203.63336181640625,203.63336181640625,203.63336181640625,206.7128448486328,208.85855102539062,213.1797637939453,220.92813110351562,221.49436950683594,221.49436950683594,221.49436950683594,224.63345336914062,227.31558227539062,225.41822814941406,225.41822814941406,225.9049835205078,225.9049835205078,225.9049835205078,225.88511657714844,227.48446655273438,231.9447479248047,233.1964111328125,236.46463012695312,236.46463012695312,236.46463012695312,228.47784423828125,230.18646240234375,228.5970458984375,230.72288513183594,229.29241943359375,229.29241943359375,229.29241943359375,227.81227111816406,227.4546661376953,218.712890625,222.43807983398438,221.8817901611328,221.8817901611328,221.8817901611328,220.46124267578125,222.92483520507812,222.92483520507812,223.4016571044922,221.3056182861328,221.3056182861328,221.3056182861328,218.79237365722656,218.37515258789062,0.010086656186626677
GS,485.3470153808594,487.1490478515625,481.3170471191406,490.28790283203125,490.28790283203125,490.28790283203125,489.7532043457031,491.68402099609375,500.20928955078125,498.763671875,511.2198486328125,511.2198486328125,511.2198486328125,517.6064453125,517.2400512695312,524.6464233398438,523.794921875,523.2998046875,523.2998046875,523.2998046875,512.705078125,513.2001953125,512.111083984375,519.3391723632812,507.5562744140625,507.5562744140625,507.5562744140625,518.4282836914062,519.1213989257812,519.240234375,512.6951904296875,514.2398681640625,514.2398681640625,514.2398681640625,506.4374084472656,521.7750244140625,590.1158447265625,576.4417114257812,583.4619750976562,583.4619750976562,583.4619750976562,596.413330078125,586.75927734375,588.3731689453125,582.8184204101562,587.6998291015625,587.6998291015625,587.6998291015625,582.2044677734375,575.6595458984375,576.2041015625,590.2445678710938,596.8489990234375,596.8489990234375,596.8489990234375,597.0965576171875,599.5421752929688,599.472900390625,599.472900390625,602.5819702148438,602.5819702148438,602.5819702148438,598.7410888671875,599.1092529296875,595.755859375,593.8552856445312,596.7210693359375,596.7210693359375,596.7210693359375,591.1884765625,582.1433715820312,589.6361694335938,588.6908569335938,582.5911254882812,582.5911254882812,582.5911254882812,583.4369506835938,571.8444213867188,547.5349731445312,551.2564697265625,563.3067016601562,563.3067016601562,563.3067016601562,567.9636840820312,579.9143676757812,579.9143676757812,578.362060546875,573.3370361328125,573.3370361328125,573.3370361328125,570.719970703125,569.7945556640625,0.17399414770674096
